dataset_id,object_id,class_name,start_frame,end_frame,total_frames,mean_confidence,start_cx,start_cy,end_cx,end_cy,displacement,path_length,mean_speed,max_speed,static_ratio,is_static,filter_reason
cao_qiao_001,533,car,6175,6700,526,0.711842,3064.381470,86.123811,1621.960388,2126.416077,2498.673870,3324.742994,6.332844,14.677203,0.003810,False,
cao_qiao_001,536,car,6201,6249,22,0.323310,1288.182373,1742.690796,1288.948425,1743.003845,0.827548,3.672841,0.062699,0.167300,1.000000,False,
cao_qiao_001,537,car,6216,6692,477,0.734912,289.087124,54.785072,1555.201172,2133.479797,2433.930267,2518.530481,5.291030,10.460264,0.006303,False,
cao_qiao_001,538,car,6218,6593,376,0.732668,2179.998535,2116.247803,3383.114014,107.133438,2341.800031,2371.445558,6.323855,10.381820,0.000000,False,
cao_qiao_001,544,car,6321,6833,513,0.762921,3019.262939,92.427413,1604.097382,2129.892883,2480.717456,3293.062449,6.431763,10.066867,0.000000,False,
cao_qiao_001,559,car,6565,6587,7,0.351696,1289.733307,1745.861206,1289.686279,1746.043274,0.188043,0.710838,0.086472,0.180974,1.000000,False,
cao_qiao_001,574,car,6778,7154,377,0.713918,2122.579285,2119.668579,3289.204041,103.128817,2329.687948,2364.749499,6.289227,11.658237,0.000000,False,
cao_qiao_001,576,car,6801,7201,401,0.772911,2948.404114,78.863769,720.441711,39.521797,2228.309731,2381.588350,5.953971,7.877552,0.000000,False,
cao_qiao_001,577,car,6859,7205,347,0.533138,2172.877441,2115.776855,3390.788818,107.048637,2349.105612,2381.394695,6.882644,10.091386,0.000000,False,
cao_qiao_001,582,car,6973,7312,340,0.708604,400.256775,57.465784,1628.906158,2129.914734,2409.278721,2464.345111,7.269455,12.400106,0.000000,False,
cao_qiao_001,583,car,6973,7267,295,0.718928,277.854156,60.781373,1555.114716,2123.456604,2426.112868,2478.911265,8.431671,12.164498,0.000000,False,
cao_qiao_001,593,car,7090,7704,615,0.754255,3053.688354,89.127136,1617.992188,2136.844971,2500.874210,3325.175657,5.415596,7.667671,0.001629,False,
cao_qiao_001,604,freight_car,7310,7752,375,0.608641,3036.251709,96.277290,723.592773,103.613102,2312.670570,2510.107366,5.678890,63.899701,0.050802,False,
cao_qiao_001,618,car,7385,8105,721,0.736360,3057.368286,92.616975,1618.338379,2133.645386,2497.319372,3344.512786,4.645157,7.569707,0.001389,False,
cao_qiao_001,619,car,7387,8226,840,0.688831,407.412140,57.882669,3380.280762,127.917738,2973.693453,4677.736501,5.575371,11.648786,0.000000,False,
